"repo_id","commit_sha","number_of_files_changed","total_lines_changed","file_types_changed"
avelino/awesome-go,"38624437a379294703443157f6f0d5ff6be4774e",1,1,{'md'}
f/awesome-chatgpt-prompts,"2cdf1a0f4b56e8f5cae0e97a603e25afb4a21c8f",1,3,{'md'}
labuladong/fucking-algorithm,"27e6347e4e23fb2dbb2e66093209a52dd6309e8f",4,25,"{'github_ISSUE_TEMPLATE_chrome-extension-bug.md','github_ISSUE_TEMPLATE_jetbrain-plugin-bug.md','github_ISSUE_TEMPLATE_vscode-extension-bug.md','github_ISSUE_TEMPLATE_website-bug.md'}"
flutter/flutter,"291a689a100097e8d3499278fb1d4bb6d698362e",1,11,{'dart'}
kubernetes/kubernetes,"11abe268c0807b696ed9763d692511ff46662303",3,450,{'go'}
airbnb/javascript,"5f019b1b11e69e7ee300ab15d5b0123c9c226bbe",2,4,{'json'}
airbnb/javascript,b23992033ce67ace887044140efb2df70aa1766d,1,4,{'js'}
facebook/react-native,d3d92b9a1df4270a91a999555257ec4f75c111da,1,39,{'js'}
"521xueweihan/HelloGitHub","99a5e3f5cfb47dba82faea3d012e7c0155083408",23,665,{'md'}
nodejs/node,"7622f0d050c66bd02f578536529b3c494cf58878",2,34,"{'cc','js'}"
microsoft/TypeScript,d88d3a46810bfae0b072beb023a2b09b8026b82c,1,3,{'d.ts'}
d3/d3,"59b2e233d4e9e1f817a03e90dd49ccbbf195d78f",21,86,"{'vue','md'}"
microsoft/TypeScript,"0a1aa6d6ebdfa16b82f4a6aaf282089b1d484e05",4,8,"{'ts','js'}"
huggingface/transformers,"051a8acc9a5a004dbaacd7156f77846e52ce9a5f",1,2,{'py'}
ripienaar/free-for-dev,"791575f2bc8d3ec63409d95e8692532ccd963db5",1,1,{'md'}
excalidraw/excalidraw,"864353be5ff8b15489a63628c2708e453c83c642",5,141,"{'ts','test.tsx','test.tsx.snap'}"
storybookjs/storybook,"019b6e040d68bdca2b7a801559def62e01b37cc4",1,10,{'ts'}
krahets/hello-algo,d97611629293fa64bb9dfd955bcea5b87d00fbc9,4,10,{'md'}
iptv-org/iptv,"86dfe9651ce7ff213a4273f7a1f4a47cf270d6fb",12,133,{'m3u'}
microsoft/TypeScript,"0fb5e3a8cff7f18a30cdcee2ead37c727674ccc5",11,557,"{'ts','types','js','symbols'}"
PanJiaChen/vue-element-admin,e680b8fa7b55df450f0c68b0dc13e6de77ef3509,2,8,"{'md','zh-CN.md'}"
microsoft/terminal,"076746a7a62197111981ca706eac9ff948286133",28,557,"{'github_actions_spelling_expect_expect.txt','xaml','cpp','resw','h','idl','vcxproj','vcxproj.filters'}"
iptv-org/iptv,"326621007e0c7e7d2f1ffac1a7f5dd58382f1df9",1,260,{'md'}
neovim/neovim,"5fd03508aab15f2c94bbc1a5098fa3d3d62ae3e1",3,24,"{'txt','lua'}"
fatedier/frp,e208043323d0ffb5d495c32e14787f509572174c,1,4,{'go'}
rustdesk/rustdesk,"836950354bb16b55115f1f888fd7824d0d68a14e",1,4,{'rs'}
ant-design/ant-design,d11f02db925b1c73cade4280e320884b47cd85e3,3,32,"{'en-US.md','zh-CN.md','json'}"
langgenius/dify,b33f8b47ca0e6c0abc1aa34ddfca3d7042f8c9b9,1,3,{'py'}
facebook/create-react-app,a8b21a1b514abe925fed8dafae6ab1129cc58fe9,2,74,{'json'}
langgenius/dify,"92528360f9f5ae0d9af5a603a2824d9caffe5b9d",5,146,{'py'}
microsoft/generative-ai-for-beginners,b99059ab52ab51bd60d46f4fd1048144401db9c7,1,1,{'md'}
axios/axios,eb0a2db04beda089e6bdcb2820f193ed2faecbc3,2,4,"{'ts','spec.js'}"
nvbn/thefuck,"5f562a185ce3ca398f990b392c54d82104a105a7",6,16,"{'md','py','py.py','ini'}"
langgenius/dify,c8d9f8e2e4968b0179420fc8b7d25518a3439242,1,2,{'tsx'}
Anduin2017/HowToCook,d3f21a15fbba400f20ef1893055bb0cfa56e7155,1,2,{'github_templates_readme_template.md'}
storybookjs/storybook,"56bfb56527ad3c4dfea3c02dead061029ca06abf",53,207,"{'json','ts'}"
twbs/bootstrap,a61555b6c20ad8ebae1ecd277b0a3b07f9025c5b,2,6,{'js'}
open-webui/open-webui,b2befd486fde81f49f10728affb139a96bd794d7,1,11,{'py'}
rustdesk/rustdesk,"4121e3fd14e5794c48261c5a93e6191986d09587",1,2,{'rs'}
rustdesk/rustdesk,d52d9da043fb0023ec5987a9357201c5395e7da3,1,2,{'gradle'}
ant-design/ant-design,"95609e57c6cb7234719e19bd5465302b28e99e0e",3,12,"{'github_workflows_preview-deploy.yml','github_workflows_visual-regression-diff-finish.yml','github_workflows_visual-regression-persist-finish.yml'}"
pytorch/pytorch,f7c09f864a6c6467a7454f1431340d3338473fd1,1,3,{'rst'}
fastapi/fastapi,be6cfd6cf508c2a4f699815be327e98c7b9ffe2c,1,1,{'md'}
Anduin2017/HowToCook,"1d7eee9cdcb63ac2d40c8a1a8b3c23c146ef84f6",3,22,{'md'}
tauri-apps/tauri,"85baacd18bbfd10574655facf462ba9dc3715edc",1,1729,{'yaml'}
deepseek-ai/DeepSeek-V3,f09f5fa321f5a421704136c0463b1eaca6557712,1,55,{'md'}
twbs/bootstrap,"29b45d4c28ac00b818891c541b1834b9320a9632",7,14,"{'github_workflows_browserstack.yml','github_workflows_bundlewatch.yml','github_workflows_css.yml','github_workflows_docs.yml','github_workflows_js.yml','github_workflows_lint.yml','github_workflows_node-sass.yml'}"
flutter/flutter,"1709d3aafc305aafcd45a9e9803e428f6436065c",16,1696,"{'1709d3aafc305aafcd45a9e9803e428f6436065c_engine_src_flutter_ci_licenses_golden_licenses_flutter','cc','h','gn'}"
electron/electron,"4e61f5b26fb16176f7b7aa062a9cbd15e8d6ad0f",4,81,"{'mac_.patches','mac_fix_crash_when_process_to_extract_zip_cannot_be_launched.patch','ts','sb'}"
yt-dlp/yt-dlp,b5be29fa58ec98226e11621fd9c58585bcff6879,1,10,{'py'}
django/django,ddb85294159185c5bd5cae34c9ef735ff8409bfe,11,223,"{'py','txt','0.txt'}"
nvbn/thefuck,c7e7e1d884d3bb241ea6448f72a989434c2a35ec,1,26,{'md'}
deepseek-ai/DeepSeek-V3,"4cc6253d5c225e2c5fea32c54573449c1c46470a",1,2,{'py'}
torvalds/linux,"82dad698061c2db166fdcf92f549d34ba038e829",5,134,"{'rst','txt','yaml'}"
codecrafters-io/build-your-own-x,"2c211140a9fad0511c6699e8247434915cb77184",1,2,{'md'}
twbs/bootstrap,"39650db7320e530f3a058a80750a89cc412e5bd8",2,118,{'json'}
ossu/computer-science,be58a0b3452524925b02fffe35283a056574b6ad,1,8,{'md'}
trekhleb/javascript-algorithms,"6509304ff613f88191155f1f9834aace8db1c149",2,66,"{'ko-KR.md','md'}"
awesome-selfhosted/awesome-selfhosted,dc15340b61c805986a1314380d3c03f9f9cf5b4a,2,3,{'md'}
awesome-selfhosted/awesome-selfhosted,"43fbf250d35faeaa28f57fce1fca5ef4eded027f",1,1,{'md'}
kamranahmedse/developer-roadmap,da386ba143f286bee81ca116f86a9046b5184adb,1,11587,{'json'}
freeCodeCamp/freeCodeCamp,c99800d58485b084e10242139cecb8f8d1ba2188,11,203,"{'json','md'}"
torvalds/linux,"27a46a0f088692bca08165e320e0293fd02638e2",1,24,{'c'}
ytdl-org/youtube-dl,"16b7e97afad2ed73c2d01a55987cb323407ca1c4",1,126,{'py'}
jackfrued/Python-100-Days,d1c00dc07b273247eba29953fe123a22e6a167c2,1,2,{'正则表达式的应用.md'}
airbnb/javascript,b912288e4bf7fa46d9254d3cdfa190e9b59f36c0,1,4,{'md'}
public-apis/public-apis,b269b3e1e2c0322ed36a3859233a57f6cd325ae6,1,1,{'md'}
tensorflow/tensorflow,"0118f23d1633ebb23116946c4c2ad361a2811190",3,81,"{'0118f23d1633ebb23116946c4c2ad361a2811190_third_party_xla_xla_service_BUILD','cc'}"
"996icu/996.ICU","8a9754db662a40725c8c75753e4d7ece9e98e79e",1,7,{'md'}
jlevy/the-art-of-command-line,"4d9f5b90bc67b4f57c54ff1a1d05339a521dbf00",1,8,{'md'}
f/awesome-chatgpt-prompts,eaefd3a20d6b1dbdb6f926c932e0a6e682cf890d,1,6,{'github_workflows_csv_linter.yml'}
avelino/awesome-go,"47cc20b79f6dcbae95ed49f8b37e21bc47d0464a",1,2,{'md'}
huggingface/transformers,"858ce6879a4aa7fa76a7c4e2ac20388e087ace26",1,162,{'py'}
codecrafters-io/build-your-own-x,d3015cee7b19c957facfb1a40b18e9161c5bd759,1,2,{'md'}
CyC2018/CS-Notes,"2bc3f0b5881147646ab812a67abf91e27e23e6aa",1,34,{'md'}
huggingface/transformers,beaed8ce01c2f24e1d520efd96e7091f0f0623e2,6,253,"{'md','py'}"
Chalarangelo/30-seconds-of-code,"771b8d1bac688a723c5d8f68f1745815c91f897c",11,25,"{'yaml','md'}"
ollama/ollama,a45231af47035e89031625d47210663881a4e2cf,1,1,{'md'}
github/gitignore,"7f1efb2ca91e23a6d515cdf267057a889a8b47b2",1,4,{'gitignore'}
massgravel/Microsoft-Activation-Scripts,be7d101df5bf99d959b1f2d16557b88614ac7920,12,3074,"{'gitattributes','cmd','md'}"
github/gitignore,dc7aaef6c0a513902f6fb3b3a1ebea93eb3f6fe6,1,8,{'gitignore'}
golang/go,"1947c4233a33953088468a23457f6779c34be2d1",1,4,{'go'}
golang/go,fece9871bbdb2569d731254575b2e8ea156ac67e,1,0,{'pgo'}
kubernetes/kubernetes,a5aabf9f7e0cc9bba4acf182e29efdd78f3188e2,5,253,{'go'}
langchain-ai/langchain,"5bf89628bf82a5ddf9d0dd4bc0926e61ccc4657d",1,8,{'py'}
facebook/react,f702620cea32f59a101d4f60fbff7a7495df76f7,3,5,"{'test-renderer.www.js','www-dynamic.js','www.js'}"
electron/electron,b303413a044e58c43c95d83ed44fd3f518f85ea5,3,58,"{'json','mjs','lock'}"
golang/go,"68b51e99f9ed6d15d1ea53c671f60c55979c4a40",1,4,{'go'}
kubernetes/kubernetes,"02eb7d424ad5ccf4f00863fe861f165be0d491da",1,48,{'sh'}
nodejs/node,"29cf3c024dd8220a429ca0e9383ce523193a114b",1,12,{'js'}
axios/axios,"7d551393c384e58058e04ae954c4cfd929afcd64",1,29,{'md'}
yt-dlp/yt-dlp,"943083edcd3df45aaa597a6967bc6c95b720f54c",1,25,{'py'}
d3/d3,ab223942829a0eee2128d60f31cf24fb7153ec46,2,3,"{'vitepress_theme_CustomFooter.vue','md'}"
godotengine/godot,a7d18f51a2806734858f238a0d101b8f8ac1db1b,8,52,"{'py','xml','cpp','h','js'}"
axios/axios,f112edfdfacb5857ac4f91156fe8b116c456dfca,2,36,"{'github_workflows_labeler.yml','github_workflows_pr-guard.yml'}"
